Zipcode,company_count,percentage
1142,14,0.0
1207,14,0.0
1371,14,0.0
1528,14,0.0
1618,14,0.0
19901,14,0.0
21200,14,0.0
28042,14,0.0
28045,14,0.0
28217,14,0.0
3072 AP,14,0.0
33570,14,0.0
3378,14,0.0
4263,14,0.0
50667,14,0.0
5211 JN,14,0.0
53842,14,0.0
57100,14,0.0
59460,14,0.0
59510,14,0.0
59520,14,0.0
60486,14,0.0
62000,14,0.0
65203,14,0.0
67100,14,0.0
6836,14,0.0
6924,14,0.0
76000,14,0.0
78000,14,0.0
8005,14,0.0
80331,14,0.0
80335,14,0.0
8410,14,0.0
93300,14,0.0
9749,14,0.0
9780,14,0.0
L-5365,14,0.0
WC2H 9JQ,14,0.0
10200,13,0.0
1075HJ,13,0.0
1077XV,13,0.0
11200,13,0.0
13001,13,0.0
1661,13,0.0
1804,13,0.0
2168,13,0.0
24240,13,0.0
28010,13,0.0
28050,13,0.0
28108,13,0.0
40474,13,0.0
40764,13,0.0
4253,13,0.0
44000,13,0.0
4704 RK,13,0.0
4963,13,0.0
52074,13,0.0
52080,13,0.0
52477,13,0.0
59174,13,0.0
59273,13,0.0
59280,13,0.0
59350,13,0.0
59620,13,0.0
59920,13,0.0
6330,13,0.0
6688,13,0.0
6851,13,0.0
69115,13,0.0
8041,13,0.0
8287,13,0.0
8440,13,0.0
